Geneid,SRR3617193,SRR3617194,SRR3617201,SRR3617202,SRR3617206,SRR3617207
ENSG00000279928,0,0,0,0,1,0
ENSG00000228037,1,1,2,7,0,4
ENSG00000142611,12,11,10,24,9,36
ENSG00000284616,0,0,0,2,0,0
ENSG00000157911,0,3,3,4,6,0
ENSG00000269896,4,3,2,2,3,1
ENSG00000228463,0,4,3,7,11,1
ENSG00000260972,0,0,0,0,0,1
ENSG00000224340,1,0,1,2,0,1
ENSG00000226374,0,0,0,0,0,0
ENSG00000229280,0,1,1,3,0,0
ENSG00000142655,22,30,30,50,84,96
ENSG00000232596,0,2,8,23,0,0
ENSG00000235054,0,0,0,0,0,0
ENSG00000231510,1,2,4,4,2,0
ENSG00000149527,2,17,1,10,10,11
ENSG00000284739,0,0,0,0,0,0
ENSG00000171621,19,42,19,62,50,102
ENSG00000272235,0,0,1,1,0,0
ENSG00000284694,2,3,8,18,0,0
ENSG00000224387,0,0,0,1,0,0
ENSG00000142583,2,10,15,11,8,6
ENSG00000284674,0,0,1,2,0,0
ENSG00000224338,0,1,0,1,1,0
ENSG00000287727,0,2,2,5,8,7
ENSG00000286448,2,0,2,4,0,2
ENSG00000284703,7,4,12,25,3,0
ENSG00000226457,8,4,10,5,1,1
ENSG00000173614,158,139,271,334,311,345
ENSG00000215720,0,1,0,5,0,0
ENSG00000241326,0,0,0,0,0,0
ENSG00000233623,0,0,2,0,3,3
ENSG00000162592,3,3,8,5,4,0
ENSG00000204624,14,16,8,12,80,35
ENSG00000142606,0,6,0,5,0,0
ENSG00000225931,0,0,0,0,1,0
ENSG00000171729,40,88,61,161,95,254
ENSG00000279457,0,0,1,3,5,2
ENSG00000229393,0,0,0,0,0,0
ENSG00000037637,69,114,146,232,275,232
ENSG00000287586,1,1,0,4,0,1
ENSG00000159423,6,11,6,20,13,13
ENSG00000227169,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0
ENSG00000157916,30,83,67,224,99,98
ENSG00000157881,8,65,29,132,151,125
ENSG00000238290,1,8,2,7,5,8
ENSG00000225387,0,0,0,0,0,0
ENSG00000048707,65,113,147,309,282,262
ENSG00000225196,0,2,6,3,0,5
ENSG00000162444,9,13,24,42,9,17
ENSG00000279625,1,0,0,0,0,0
ENSG00000180758,47,45,42,59,58,82
ENSG00000184677,76,91,182,196,398,265
ENSG00000288398,150,123,118,129,205,145
ENSG00000224621,2,1,0,2,4,2
ENSG00000285833,0,1,0,0,1,0
ENSG00000131697,21,24,35,82,167,81
ENSG00000284692,1,1,1,3,6,0
ENSG00000284745,0,0,0,0,0,0
ENSG00000280222,0,1,5,8,16,6
ENSG00000285945,0,0,0,1,0,0
ENSG00000197921,0,0,0,2,0,0
ENSG00000233755,0,0,0,1,0,0
ENSG00000233929,34,168,19,108,124,74
ENSG00000234166,0,0,0,0,0,0
ENSG00000235282,0,0,0,2,3,3
ENSG00000055070,182,348,306,510,396,453
ENSG00000175087,48,88,95,162,71,70
ENSG00000230035,0,0,0,0,0,0
ENSG00000225643,0,1,0,2,15,3
ENSG00000284666,0,0,0,0,0,0
ENSG00000228943,0,0,5,2,0,0
ENSG00000234397,1,2,5,5,4,3
ENSG00000284309,0,0,0,1,0,1
ENSG00000162511,60,40,271,107,217,76
